"","production_countries.name","budget_mean","maturecontent_sum","notmature_sum","income_level","RELIGION_IMPORT","HOMOSEXUALITY","GENDER_EQUALITY"
"278","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"279","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"280","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"281","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"282","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"283","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"284","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"285","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"286","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"287","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"288","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"289","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"290","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"291","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"292","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"293","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"294","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"295","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"296","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"297","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"298","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"299","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"300","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"301","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"302","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"303","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"304","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"305","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"306","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
"307","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"308","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"309","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"310","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"311","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"312","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"313","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"314","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"315","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"316","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"317","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"318","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"319","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"320","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"321","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"322","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"323","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"324","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"325","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"326","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"327","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"328","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"329","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"330","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"331","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"332","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"333","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"334","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"335","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"336","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"337","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"338","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"339","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"340","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"341","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"342","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"343","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"344","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"345","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"346","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"347","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"348","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"349","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"350","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"351","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"352","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"353","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"354","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"355","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"356","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"357","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"358","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"359","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"360","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"361","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"362","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"363","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"364","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"365","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"366","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"367","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"368","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"369","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"370","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"371","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"372","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"373","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"374","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"375","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"376","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"377","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"378","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"379","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"380","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"381","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"382","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"383","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"384","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"385","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"386","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"387","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"388","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"389","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"390","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"391","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"392","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"393","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"394","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"395","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"396","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"397","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"398","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"399","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"400","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"401","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"402","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"403","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"404","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"405","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"406","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"407","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"408","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"409","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"410","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"411","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"412","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"413","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
"414","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"415","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"416","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"417","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"418","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"419","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"420","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"421","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"422","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"423","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"424","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"425","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"426","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"427","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"428","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"429","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"430","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"431","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"432","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"433","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"434","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"435","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"436","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"437","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"438","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"439","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"440","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"441","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"442","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
"443","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"444","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"445","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"446","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"447","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"448","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"449","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"450","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"451","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"452","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"453","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"454","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"455","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"456","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"457","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"458","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"459","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"460","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"461","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"462","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"463","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"464","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"465","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"466","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"467","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"468","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"469","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"470","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"471","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"472","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"473","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"474","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"475","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"476","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"477","Argentina",135584.590643275,70,443,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"478","Australia",1139590.29596413,140,529,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"479","Brazil",368178.274867122,89,1228,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"480","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"481","Canada",1576406.07352234,565,1516,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"482","Czech Republic",442268.618243243,24,272,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"483","France",595447.064901156,213,2468,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"484","Germany",187527.304303626,329,2622,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"485","Greece",106367.875647668,13,180,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"486","Hungary",735550.237179487,17,139,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"487","India",741780.788833859,691,1530,"Lower middle income","Not too important","Homosexuality should be accepted by society","Very important"
"488","Indonesia",102773.857855362,98,303,"Lower middle income","Not too important","Homosexuality should be accepted by society","Very important"
"489","Israel",63675.1828571429,10,165,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"490","Italy",201833.538461538,101,692,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"491","Japan",299509.9872579,438,1524,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"492","Kenya",0.764705882352941,1,16,"Lower middle income","Not too important","Homosexuality should be accepted by society","Very important"
"493","Lebanon",0,1,48,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"494","Lithuania",23594.1176470588,6,45,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"495","Mexico",358732.433198381,63,431,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"496","Netherlands",69708.4337152209,37,574,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"497","Nigeria",21600.04,6,44,"Lower middle income","Not too important","Homosexuality should be accepted by society","Very important"
"498","Philippines",11036.5712250712,110,592,"Lower middle income","Not too important","Homosexuality should be accepted by society","Very important"
"499","Poland",166440.397212544,34,253,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"500","Russia",834350.628899836,74,535,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"501","Slovakia",183506.340425532,5,42,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"502","South Africa",936963.884615385,29,153,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"503","South Korea",377732.70977918,181,770,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"504","Spain",519514.463392857,150,970,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"505","Sweden",200435.246987952,90,408,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"506","Tunisia",714.285714285714,1,13,"Lower middle income","Not too important","Homosexuality should be accepted by society","Very important"
"507","Turkey",239944.548295455,68,284,"Upper middle income","Not too important","Homosexuality should be accepted by society","Very important"
"508","Ukraine",289352.47,15,85,"Lower middle income","Not too important","Homosexuality should be accepted by society","Very important"
"509","United Kingdom",1496293.43582704,533,2381,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"510","United States of America",2223976.84860624,3254,8728,"High income","Not too important","Homosexuality should be accepted by society","Very important"
"511","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"512","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"513","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"514","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"515","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"516","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"517","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"518","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"519","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"520","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"521","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"522","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"523","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"524","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"525","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"526","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"527","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"528","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"529","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"530","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"531","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"532","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"533","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"534","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"535","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"536","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"537","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"538","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"539","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"540","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"541","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"542","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"543","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"544","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"545","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"546","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"547","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"548","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"549","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"550","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"551","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"552","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"553","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"554","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"555","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"556","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"557","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"558","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"559","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"560","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
